id;default;idade;sexo;dependentes;escolaridade;estado_civil;salario_anual;cant_bienes
768805383;0;45;M;3;ensino medio;casado;60.000;5
818770008;0;49;F;5;mestrado;solteiro;40.000;6
713982108;0;51;M;3;mestrado;casado;70.000;4
769911858;0;40;F;4;ensino medio;na;40.000;3
709106358;0;40;M;3;sem educacao formal;casado;60.000;5
713061558;0;44;M;2;mestrado;casado;50.000;3
810347208;0;51;M;4;na;casado;120.000;6
818906208;0;32;M;0;ensino medio;na;60.000;2
710930508;0;37;M;3;sem educacao formal;solteiro;60.000;5
719661558;0;48;M;2;mestrado;solteiro;70.000;6
708790833;0;42;M;5;sem educacao formal;na;120.000;5
710821833;0;65;M;1;na;casado;50.000;6
710599683;0;56;M;1;graduacao;solteiro;70.000;3
816082233;0;35;M;3;mestrado;na;60.000;5
712396908;0;57;F;2;mestrado;casado;40.000;5
714885258;0;44;M;4;na;na;70.000;5
709967358;0;48;M;4;doutorado;solteiro;70.000;6
753327333;0;41;M;3;na;casado;70.000;4
806160108;0;61;M;1;ensino medio;casado;50.000;2
709327383;0;45;F;2;mestrado;casado;50.000;6
806165208;0;47;M;1;doutorado;divorciado;60.000;5
708508758;1;62;F;0;mestrado;casado;40.000;2
784725333;0;41;M;3;ensino medio;casado;50.000;4
811604133;0;47;F;4;na;solteiro;40.000;3
789124683;0;54;M;2;na;casado;70.000;4
771071958;0;41;F;3;mestrado;solteiro;40.000;6
720466383;0;59;M;1;ensino medio;na;50.000;4
804424383;0;63;M;1;na;casado;60.000;3
718813833;0;44;F;3;sem educacao formal;solteiro;50.000;5
806624208;0;47;M;4;ensino medio;casado;50.000;6
778348233;0;53;M;3;na;casado;70.000;3
712991808;0;53;M;2;sem educacao formal;casado;60.000;2
709029408;0;41;M;4;mestrado;casado;60.000;4
788658483;0;53;F;2;graduacao;casado;40.000;5
787937058;0;58;M;0;mestrado;casado;70.000;6
715318008;0;55;F;1;graduacao;solteiro;40.000;4
713962233;0;55;F;3;mestrado;casado;40.000;6
785432733;0;42;F;4;ensino medio;casado;40.000;2
715190283;0;57;F;1;mestrado;na;50.000;3
708300483;1;66;F;0;doutorado;casado;50.000;5
827111283;0;45;M;3;mestrado;solteiro;70.000;2
758551608;0;51;M;2;na;casado;50.000;4
773146383;0;50;F;1;graduacao;solteiro;50.000;3
778493808;0;49;M;3;ensino medio;casado;60.000;5
720572508;0;38;F;4;mestrado;solteiro;50.000;2
712661433;0;49;M;4;sem educacao formal;solteiro;70.000;3
789172683;0;56;M;2;doutorado;casado;60.000;6
738406533;0;59;M;1;doutorado;casado;50.000;3
799723908;0;46;M;3;ensino medio;casado;70.000;4
771490833;0;52;M;1;graduacao;solteiro;70.000;5
720756708;0;52;F;3;na;casado;40.000;6
779471883;1;54;F;1;mestrado;casado;40.000;2
711525033;0;66;F;0;ensino medio;casado;40.000;3
712813458;0;49;M;2;na;casado;120.000;4
714374133;1;56;M;2;mestrado;casado;120.000;1
717891558;0;49;F;4;mestrado;na;40.000;6
716632758;0;49;F;3;mestrado;solteiro;40.000;2
768563658;0;56;M;2;sem educacao formal;casado;50.000;4
711427458;0;44;F;5;mestrado;casado;50.000;4
714091983;0;42;M;2;ensino medio;solteiro;60.000;4
787584108;0;55;M;3;na;casado;70.000;4
712030833;1;48;M;2;mestrado;casado;60.000;2
711481533;0;39;M;1;ensino medio;divorciado;60.000;5
710082708;0;44;M;4;doutorado;solteiro;120.000;2
708155733;0;53;M;2;ensino medio;solteiro;120.000;4
788979258;0;51;M;4;sem educacao formal;solteiro;70.000;4
807986133;0;57;M;2;graduacao;casado;60.000;5
788730933;0;44;F;2;sem educacao formal;solteiro;40.000;6
711314058;0;49;M;2;mestrado;casado;60.000;2
717975333;0;50;M;2;doutorado;casado;70.000;6
715971108;0;51;M;4;mestrado;solteiro;120.000;3
